alamat,jk,lb,lt,harga
Antapani,3.0,75.0,84.0,590.0
Bandung Wetan,3.0,70.0,71.0,700.0
Padalarang,2.0,36.0,72.0,386.0
Bandung,2.0,60.0,60.0,499.0
Cibiru Hilir,2.0,90.0,114.0,397.0
Setiabudi,2.0,60.0,60.0,557.0
Buahbatu (Margacinta),2.0,48.0,80.0,448.0
Bandung,2.0,36.0,60.0,150.0
Dago,7.0,200.0,405.0,6466.5
Padalarang,3.0,75.0,84.0,580.0
Padalarang,3.0,75.0,84.0,600.0
Lembang,7.0,350.0,276.0,3500.0
Majalaya,2.0,30.0,60.0,150.0
Gegerkalong,7.0,474.5,405.0,6466.5
Rancaekek,2.0,30.0,60.0,297.0
Cidadap,3.0,100.0,100.0,1250.0
Sarijadi,3.0,60.0,80.0,250.0
Cicendo,3.0,65.0,71.0,1171.0
Cicalengka,2.0,37.0,60.0,331.0
Cibaduyut,2.0,70.0,100.0,350.0
Buahbatu,4.0,70.0,120.0,225.0
Cibaduyut,2.0,100.0,120.0,1650.0
Baleendah,2.0,21.0,35.0,65.0
Babakan Ciparay,2.0,80.0,120.0,420.0
Dago,3.0,65.0,70.0,699.0
Bojongsoang,3.0,45.0,72.0,450.0
Kopo,2.0,30.0,50.0,175.0
Bandung Wetan,2.0,49.0,78.0,468.0
Bojongsoang,2.0,36.0,60.0,297.0
Rancamulya,2.0,40.0,60.0,180.0
Arjasari,2.0,30.0,60.0,150.0
Banjaran,2.0,50.0,70.0,210.0
Soreang,2.0,36.0,60.0,150.0
Bandung,3.0,50.0,69.0,453.0
Antapani,3.0,140.0,125.0,550.0
Regol,4.0,150.0,110.0,1980.0
Sukamenak,7.0,450.0,405.0,2300.0
Rancamanyar,2.0,30.0,40.0,186.0
Cinunuk,3.0,40.0,65.0,195.0
Bojongsoang,2.0,80.0,47.0,300.0
Arcamanik,3.0,50.0,72.0,400.0
Arcamanik,4.0,170.0,342.0,1500.0
Bandung Kidul,2.0,30.0,60.0,150.0
Buahbatu,2.0,36.0,72.0,696.0
Cisaranten Kulon,3.0,75.0,71.0,675.0
Katapang,2.0,30.0,60.0,283.0
Ciwastra,2.0,36.0,60.0,360.0
Lembang,2.0,55.0,60.0,497.0
Andir,4.0,73.0,55.0,1175.0
Bandung,3.0,70.0,120.0,199.0
Rancasari,2.0,45.0,65.0,675.0
